battery_id,cycle,type,time_start,V_avg,V_min,V_max,I_avg,I_min,I_max,T_avg,T_min,T_max,Capacity,SoH,RUL,Degradation_Rate,Thermal_Stress,Capability_Band,Recommended_Applications
B0005,1,discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.5000e+01 2.5000e+01 4.1593e+01],3.5298286688693397,2.612467347907089,4.191491807505295,-1.8187019641679727,-2.0180146876333027,0.0007285852728454,32.572328114029,24.325993424022467,38.98218133148803,1.8564874208181572,1.0,612,-0.005080085549115099,38.98218133148803,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,3,discharge,[2.0080e+03 4.0000e+00 2.0000e+00 1.9000e+01 4.3000e+01 4.8406e+01],3.5373201277859714,2.587208728940726,4.189773213846608,-1.8175598506612867,-2.016820542901454,0.0029274033590803,32.72523522519307,24.685948163596,39.03339796678704,1.846327249719927,0.9945272071416715,610,-0.005284556648687322,39.03339796678704,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,5,discharge,[2.008e+03 4.000e+00 3.000e+00 0.000e+00 1.000e+00 6.687e+00],3.5437367282719,2.65191689384378,4.188186735991303,-1.8164865418840956,-2.016573862170142,0.001483676365228,32.64286193755933,24.7342661639544,38.81879668981741,1.835349194223408,0.9886138595081707,608,-0.002766180534453544,38.81879668981741,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,7,discharge,[2008.       4.       3.       4.      16.      37.375],3.5436661072601456,2.592947964776547,4.188461118855572,-1.8255891938692528,-2.0159359571668354,0.0015470119527235,32.51487646204882,24.65224374129252,38.7623045063458,1.8352625275821128,0.9885671763794174,606,-0.0001759215028415695,38.7623045063458,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,9,discharge,[2008.       4.       3.       8.      33.      25.703],3.5423432526672167,2.547419651124539,4.188298524761055,-1.8261139590277584,-2.017425579158831,0.0017014548245034,32.38234901543077,24.518700434435164,38.66539257343368,1.8346455082120416,0.9882348178817771,604,9.978312135910938e-05,38.66539257343368,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,11,discharge,[2008.       4.       3.      12.      55.      10.687],3.5413347346347575,2.5209480504077413,4.188815807948604,-1.8168108743168805,-2.0162347618032066,0.0024899497555445,32.43418218230641,24.51442664842638,38.75169504640032,1.8356616600675493,0.9887821697485943,602,0.0001251586776546687,38.75169504640032,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,13,discharge,[2008.       4.       3.      17.      17.      16.015],3.5410250495075215,2.487927319492314,4.18839163793879,-1.816791144707133,-2.01583310669507,0.0023142958827398,32.480416444757985,24.575581239008407,38.8207012322275,1.8351461429226603,0.9885044855913477,600,-0.002476217375248946,38.8207012322275,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,15,discharge,[2008.       4.       3.      21.      28.      14.718],3.554133296801584,2.665204904745877,4.188927891511958,-1.8443412120754061,-2.0166395518034546,0.0022276160569156,32.41046186109587,24.71132429046902,38.51713023385634,1.8257567905665535,0.9834468955151549,598,-0.002593072483381753,38.51713023385634,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,17,discharge,[2.0080e+03 4.0000e+00 4.0000e+00 1.0000e+00 3.8000e+01 1.5218e+01],3.5529355991467955,2.603858472633368,4.189029250882121,-1.853972745505648,-2.018357230695621,0.0054010283210214,32.3461408313,24.628487294051176,38.526267904657,1.8247738529891333,0.9829174345738105,596,-0.0002858805174043577,38.526267904657,Band A,"Home backup, Small solar storage, Off-grid residential loads"
B0005,19,discharge,[2008.       4.       4.       5.      48.       8.609],3.5512057319376997,2.552853984885676,4.189223427076418,-1.853589933851096,-2.016071837814984,0.0030191479674457,32.27679750791685,24.561560340089137,38.52698128472781,1.824613268496936,0.9828309354731991,594,-3.8575075670732595e-05,38.52698128472781,Band A,"Home backup, Small solar storage, Off-grid residential loads"
